page_id,url,url_variants,window,window_start,window_end,clicks,impressions,ctr,position,truncated,export_id
pg_0001,https://www.the-anchor.pub/whats-on,https://www.the-anchor.pub/whats-on,3m,2026-06-12,2026-09-11,7,1855,0.003774,5.145,false,gsc-3m-p-pg_0001
pg_0002,https://www.the-anchor.pub/quiz-night,https://www.the-anchor.pub/quiz-night,3m,2026-06-12,2026-09-11,0,67,0,5.0791,false,gsc-3m-p-pg_0002
pg_0003,https://www.the-anchor.pub/quiz-night/themed,https://www.the-anchor.pub/quiz-night/themed,3m,2026-06-12,2026-09-11,0,0,,,false,gsc-3m-p-pg_0003
pg_0004,https://www.the-anchor.pub/music-bingo,https://www.the-anchor.pub/music-bingo,3m,2026-06-12,2026-09-11,0,4,0,2.75,false,gsc-3m-p-pg_0004
pg_0005,https://www.the-anchor.pub/cash-bingo,https://www.the-anchor.pub/cash-bingo,3m,2026-06-12,2026-09-11,0,60,0,15.195,false,gsc-3m-p-pg_0005
