cluster_id,run_id,window,evidence_tier,tier_reasons,tags,deciding_tag,action,target_bin,curve_name,scenario_clicks_monthly,scenario_assumptions,demand_observation_id,demand_keyword_id,demand_source_rule,demand_value_low,demand_value_high,demand_precision_mode,demand_pulled_on,business_value,search_opportunity,current_performance_gap,confidence,effort,risk,priority_score,score_version,change_type,evidence_refs
cl_0001,2026-09-11-02-targeted,3m,B,page-level evidence only; no named queries for the cluster|demand observation ob_000078,LOW_OBSERVED_VISIBILITY,LOW_OBSERVED_VISIBILITY,investigate-visibility,,awr-organic-blended,not estimable,not estimable,ob_000078,kw_000041,head-keyword,1000,10000,encoded_band,2026-09-08,4,3,5,3,1,1,90.0,2.1.0,metadata,gsc-3m-p-pg_0002
cl_0003,2026-09-11-02-targeted,3m,B,page-level evidence only; no named queries for the cluster|demand observation ob_000026,LOW_OBSERVED_VISIBILITY,LOW_OBSERVED_VISIBILITY,investigate-visibility,,awr-organic-blended,not estimable,not estimable,ob_000026,kw_000026,head-keyword,100,1000,encoded_band,2026-08-17,4,2,5,3,1,1,60.0,2.1.0,metadata,gsc-3m-p-pg_0004
cl_0004,2026-09-11-02-targeted,3m,B,page-level evidence only; no named queries for the cluster|demand observation ob_000034,LOW_OBSERVED_VISIBILITY,LOW_OBSERVED_VISIBILITY,investigate-visibility,,awr-organic-blended,not estimable,not estimable,ob_000034,kw_000034,head-keyword,100,1000,encoded_band,2026-08-17,4,2,5,3,1,1,60.0,2.1.0,metadata,gsc-3m-p-pg_0005
cl_0005,2026-09-11-02-targeted,3m,B,page-level evidence only; no named queries for the cluster|demand observation ob_000064,LOW_OBSERVED_VISIBILITY,LOW_OBSERVED_VISIBILITY,investigate-visibility,,awr-organic-blended,not estimable,not estimable,ob_000064,kw_000036,head-keyword,100,1000,encoded_band,2026-09-08,4,2,5,3,1,1,60.0,2.1.0,metadata,gsc-3m-p-pg_0001
cl_0002,2026-09-11-02-targeted,3m,B,page-level evidence only; no named queries for the cluster|demand observation ob_001502|page pg_0003 was first published 2026-08-21 and existed for 24% of the 3m window (minimum 50%); decay and low visibility are not read from this window,,hold,hold,,awr-organic-blended,not estimable,not estimable,ob_001502,kw_001485,head-keyword,10,100,encoded_band,2026-09-13,2,1,1,3,1,1,3.0,2.1.0,,gsc-3m-p-pg_0003
