Top pages,Clicks,Impressions,CTR,Position
https://www.the-anchor.pub/heathrow-hotels-pub,29,4098,0.71%,22.07
https://www.the-anchor.pub/karaoke,17,662,2.57%,11.84
https://www.the-anchor.pub/cash-bingo,6,324,1.85%,9.58
https://www.the-anchor.pub/quiz-night,3,400,0.75%,11.45
