Top pages,Clicks,Impressions,CTR,Position
https://www.the-anchor.pub/events/quiz-night-pub-pursuit-2025-08-13,0,1,0%,2
https://www.the-anchor.pub/events/pub-quiz-night-2025-10-01,0,1,0%,3
https://www.the-anchor.pub/events/bingo-night-2025-09-19,0,1,0%,5
