url,issue,url_type,cohort,last_crawled
https://www.the-anchor.pub/blog/tag/mothers-day,Page with redirect,redirect_source,tag,2026-04-01
https://www.the-anchor.pub/blog/tag/entertainment,Page with redirect,redirect_source,tag,2026-03-31
https://www.the-anchor.pub/blog/tag/artisan,Page with redirect,page,tag,2026-03-31
https://www.the-anchor.pub/drinks/carling,Page with redirect,redirect_source,drink,2026-03-31
https://www.the-anchor.pub/drinks/gordons,Page with redirect,redirect_source,drink,2026-03-31
https://www.the-anchor.pub/drinks/wine,Page with redirect,redirect_source,drink,2026-03-31
https://www.the-anchor.pub/blog/tag/romantic-dining,Page with redirect,redirect_source,tag,2026-03-29
https://www.the-anchor.pub/drinks/abbot-ale,Page with redirect,redirect_source,drink,2026-03-29
https://www.the-anchor.pub/drinks/desperados,Page with redirect,redirect_source,drink,2026-03-29
https://www.the-anchor.pub/drink,Page with redirect,redirect_source,other,2026-03-29
https://www.the-anchor.pub/join-the-team,Page with redirect,redirect_source,other,2026-03-28
https://www.the-anchor.pub/post/the-importance-of-being-dog-friendly,Page with redirect,legacy_wix,post,2026-03-27
https://www.the-anchor.pub/live-sport/premier-league,Page with redirect,redirect_source,other,2026-03-26
https://www.the-anchor.pub/blog/euro-2024-viewing,Page with redirect,redirect_source,post,2026-03-25
https://www.the-anchor.pub/live-sport-pub,Page with redirect,redirect_source,other,2026-03-25
https://www.the-anchor.pub/post/british-chip-shop-guide,Page with redirect,legacy_wix,post,2026-03-25
https://www.the-anchor.pub/blog/tag/heathrow-area,Page with redirect,redirect_source,tag,2026-03-25
https://www.the-anchor.pub/blog/tag/april,Page with redirect,page,tag,2026-03-25
https://www.the-anchor.pub/blog/tag/christmas-market,Page with redirect,page,tag,2026-03-25
https://www.the-anchor.pub/blog/tag/new-menu,Page with redirect,redirect_source,tag,2026-03-25
https://www.the-anchor.pub/blog/tag/six-nations,Page with redirect,redirect_source,tag,2026-03-24
https://www.the-anchor.pub/blog/tag/romance,Page with redirect,page,tag,2026-03-24
https://www.the-anchor.pub/events/quiz-night-2026-07-15,Page with redirect,page,event,2026-03-23
https://www.the-anchor.pub/blog/tag/monthly-events,Page with redirect,page,tag,2026-03-23
https://www.the-anchor.pub/blog/tag/village-pub,Page with redirect,page,tag,2026-03-23
https://www.the-anchor.pub/drinks/el-pico-cabernet-sauvignon,Page with redirect,redirect_source,drink,2026-03-23
https://www.the-anchor.pub/drinks/giorgio-and-gianni-spumante,Page with redirect,redirect_source,drink,2026-03-23
https://www.the-anchor.pub/drinks/whiskey,Page with redirect,redirect_source,drink,2026-03-23
https://www.the-anchor.pub/blog/tag/diwali,Page with redirect,redirect_source,tag,2026-03-23
https://www.the-anchor.pub/_frog,Page with redirect,redirect_source,other,2026-03-23
https://www.the-anchor.pub/blog/tag/etiquette,Page with redirect,page,tag,2026-03-22
https://www.the-anchor.pub/blog/tag/british-pie-week,Page with redirect,page,tag,2026-03-21
https://www.the-anchor.pub/blog/tag/october,Page with redirect,page,tag,2026-03-21
https://www.the-anchor.pub/blog/tag/pancake-day,Page with redirect,page,tag,2026-03-21
https://www.the-anchor.pub/events/quiz-night-2026-03-04,Page with redirect,page,event,2026-03-21
https://www.the-anchor.pub/events/quiz-night-2026-10-07,Page with redirect,page,event,2026-03-21
https://www.the-anchor.pub/events/quiz-night-april--2025,Page with redirect,page,event,2026-03-20
https://www.the-anchor.pub/post/british-pie-week-the-anchor,Page with redirect,legacy_wix,post,2026-03-17
https://www.the-anchor.pub/post/christmas-2023-events-the-anchor,Page with redirect,legacy_wix,post,2026-03-16
https://www.the-anchor.pub/private-hire/near,Page with redirect,page,private_hire,2026-03-16
https://www.the-anchor.pub/blog/tag/christmas,Page with redirect,redirect_source,tag,2026-03-16
https://www.the-anchor.pub/blog/tag/parties,Page with redirect,redirect_source,tag,2026-03-16
https://www.the-anchor.pub/events/quiz-night-july--2025,Page with redirect,page,event,2026-03-14
https://www.the-anchor.pub/drinks/sambuca-chilli,Page with redirect,redirect_source,drink,2026-03-14
https://www.the-anchor.pub/free-parking,Page with redirect,redirect_source,other,2026-03-13
https://www.the-anchor.pub/post/this-december-at-the-anchor,Page with redirect,legacy_wix,post,2026-03-13
https://www.the-anchor.pub/blog/page/3,Page with redirect,page,post,2026-03-13
https://www.the-anchor.pub/events/bingo-2026-02-18,Page with redirect,redirect_source,event,2026-03-13
https://www.the-anchor.pub/post/traveling-digital-nomad-with-pet-guide,Page with redirect,legacy_wix,post,2026-03-13
https://www.the-anchor.pub/post/day-of-the-dead-anchor-pub-events,Page with redirect,legacy_wix,post,2026-03-13
https://www.the-anchor.pub/post/tequila-cultural-significance-during-dia-de-los-muertos,Page with redirect,legacy_wix,post,2026-03-13
https://www.the-anchor.pub/post/what-is-race-night,Page with redirect,legacy_wix,post,2026-03-13
https://www.the-anchor.pub/blog/page/8,Page with redirect,page,post,2026-03-13
https://www.the-anchor.pub/post/st-patricks-day-2024-celebration-the-anchor,Page with redirect,legacy_wix,post,2026-03-12
https://www.the-anchor.pub/blog?page=1,Page with redirect,parameter_variant,other,2026-03-12
https://www.the-anchor.pub/post/sunday-lunch-at-the-anchor,Page with redirect,legacy_wix,post,2026-03-11
https://www.the-anchor.pub/post/curry-club,Page with redirect,legacy_wix,post,2026-03-08
https://www.the-anchor.pub/post/arjun-r-piano-performance-christmas-market,Page with redirect,legacy_wix,post,2026-03-07
https://www.the-anchor.pub/whats-on/drag-shows,Page with redirect,page,other,2026-03-07
https://www.the-anchor.pub/blog/tag/kindness-day,Page with redirect,page,tag,2026-03-06
https://www.the-anchor.pub/events/quiz-night-2026-06-03,Page with redirect,page,event,2026-03-06
https://www.the-anchor.pub/events/quiz-night-2026-08-05,Page with redirect,page,event,2026-03-06
https://www.the-anchor.pub/honey-bee-mine,Page with redirect,redirect_source,other,2026-03-06
https://www.the-anchor.pub/blog/tag/march,Page with redirect,redirect_source,tag,2026-03-05
https://www.the-anchor.pub/blog/tag/traditions,Page with redirect,page,tag,2026-03-04
https://www.the-anchor.pub/post/christmas-2021,Page with redirect,legacy_wix,post,2026-03-04
https://www.the-anchor.pub/event-details/gameshow-house-party-2025-05-30-19-00,Page with redirect,legacy_wix,event,2026-03-04
https://www.the-anchor.pub/blog/tag/jobs,Page with redirect,page,tag,2026-02-21
https://www.the-anchor.pub/blog/tag/local-heroes,Page with redirect,page,tag,2026-02-20
https://www.the-anchor.pub/blog/tag/british,Page with redirect,page,tag,2026-02-19
https://www.the-anchor.pub/blog/tag/limited-time,Page with redirect,redirect_source,tag,2026-02-19
https://www.the-anchor.pub/blog/tag/improvements,Page with redirect,redirect_source,tag,2026-02-19
https://www.the-anchor.pub/blog/tag/local-life,Page with redirect,page,tag,2026-02-19
https://www.the-anchor.pub/blog/tag/remote-work,Page with redirect,page,tag,2026-02-19
https://www.the-anchor.pub/blog/tag/careers,Page with redirect,redirect_source,tag,2026-02-19
https://www.the-anchor.pub/blog/tag/caribbean,Page with redirect,redirect_source,tag,2026-02-19
https://www.the-anchor.pub/blog/tag/celebration,Page with redirect,redirect_source,tag,2026-02-19
https://www.the-anchor.pub/blog/tag/czech-beer,Page with redirect,redirect_source,tag,2026-02-19
https://www.the-anchor.pub/blog/tag/family-dining,Page with redirect,redirect_source,tag,2026-02-19
https://www.the-anchor.pub/blog/tag/games,Page with redirect,redirect_source,tag,2026-02-19
https://www.the-anchor.pub/blog/tag/indian-food,Page with redirect,redirect_source,tag,2026-02-19
https://www.the-anchor.pub/blog/tag/pool,Page with redirect,redirect_source,tag,2026-02-19
https://www.the-anchor.pub/blog/tag/september,Page with redirect,redirect_source,tag,2026-02-19
https://www.the-anchor.pub/blog/tag/shopping,Page with redirect,redirect_source,tag,2026-02-19
