page_id,url,canonical_url,status,page_type,redirect_from,title,h1,first_published,last_changed
pg_0001,https://www.the-anchor.pub/whats-on,https://www.the-anchor.pub/whats-on,live,events-hub,,"Quiz, Music Bingo & Cash Bingo Near Heathrow | The Anchor",What's On at The Anchor,2025-06-24,2026-09-07
pg_0002,https://www.the-anchor.pub/quiz-night,https://www.the-anchor.pub/quiz-night,live,event-hub,,Pub Quiz Near Me | Wednesday Quiz Night | The Anchor,"Wednesday Pub Quiz at The Anchor, Stanwell Moor",2025-07-24,2026-09-07
pg_0003,https://www.the-anchor.pub/quiz-night/themed,https://www.the-anchor.pub/quiz-night/themed,live,event-hub,,Themed Quiz Nights Near Heathrow | The Anchor,Themed quiz nights,2026-08-21,2026-08-26
pg_0004,https://www.the-anchor.pub/music-bingo,https://www.the-anchor.pub/music-bingo,live,event-hub,,Music Bingo Near Me | Drag Music Bingo | The Anchor,"Music Bingo at The Anchor, Stanwell Moor",2026-01-27,2026-09-06
pg_0005,https://www.the-anchor.pub/cash-bingo,https://www.the-anchor.pub/cash-bingo,live,event-hub,,Pub Bingo Near Me | Cash Bingo in Stanwell Moor | The Anchor,"Cash Bingo at The Anchor, Stanwell Moor",2025-09-27,2026-09-06
