export_id,pull_id,folder,scope,filter_type,filter_value,window_start,window_end,reporting_country,search_type,tabs_present,rows_queries,rows_pages,truncated_queries,truncated_pages,total_clicks,total_impressions,named_query_clicks,named_query_impressions,coverage_clicks,coverage_impressions,preliminary,source_hash
gsc-16m-p-pg_0001,gsc-16m-p-pg_0001,raw/gsc-16m-p-pg_0001,page-group,page,https://www.the-anchor.pub/whats-on,2025-05-09,2026-09-08,all,web,Chart.csv|Countries.csv|Devices.csv|Filters.csv|Pages.csv|Queries.csv|Search appearance.csv,206,1,false,false,91,15289,29,8205,0.318681,0.53666,,b9c466c6410b6530156c71c22ac2557f397253728d1ffa14ba9bad59d33a474b
gsc-16m-p-pg_0002,gsc-16m-p-pg_0002,raw/gsc-16m-p-pg_0002,page-group,page,https://www.the-anchor.pub/quiz-night,2025-05-09,2026-09-08,all,web,Chart.csv|Countries.csv|Devices.csv|Filters.csv|Pages.csv|Queries.csv|Search appearance.csv,131,1,false,false,30,2463,4,602,0.133333,0.244417,,b25e53d981b1dc3872690af0edbd88d145305e08b0a6852a6d274a6e84e8141c
gsc-16m-p-pg_0004,gsc-16m-p-pg_0004,raw/gsc-16m-p-pg_0004,page-group,page,https://www.the-anchor.pub/music-bingo,2025-05-09,2026-09-08,all,web,Chart.csv|Countries.csv|Devices.csv|Filters.csv|Pages.csv|Queries.csv|Search appearance.csv,18,1,false,false,5,360,0,36,0,0.1,,a93f954c1c1f3063dd9b01299bc381dfda3ea1caa5a1d26a4f6cd6082b9247a3
gsc-16m-p-pg_0005,gsc-16m-p-pg_0005,raw/gsc-16m-p-pg_0005,page-group,page,https://www.the-anchor.pub/cash-bingo,2025-05-09,2026-09-08,all,web,Chart.csv|Countries.csv|Devices.csv|Filters.csv|Pages.csv|Queries.csv|Search appearance.csv,44,1,false,false,6,1009,0,172,0,0.170466,,b856885d26a019a5d48a1aa50e70023827a41d17639c05714ca644ce9be1807a
