export_id,pull_id,folder,scope,filter_type,filter_value,window_start,window_end,reporting_country,search_type,tabs_present,rows_queries,rows_pages,truncated_queries,truncated_pages,total_clicks,total_impressions,named_query_clicks,named_query_impressions,coverage_clicks,coverage_impressions,preliminary,source_hash
gsc-3m-p-pg_0001,gsc-3m-p-pg_0001,raw/gsc-3m-p-pg_0001,page-group,page,+^https://www[.]the-anchor[.]pub/whats-on$,2026-06-12,2026-09-11,GB,web,Chart.csv|Countries.csv|Devices.csv|Filters.csv|Pages.csv|Queries.csv|Search appearance.csv,47,1,false,false,7,1855,7,1855,1,1,,3b5b9e46da746aae88330a7f1066eb8686de6d37d7b46d5e3d1ec9660f45ffc8
gsc-3m-p-pg_0002,gsc-3m-p-pg_0002,raw/gsc-3m-p-pg_0002,page-group,page,+^https://www[.]the-anchor[.]pub/quiz-night$,2026-06-12,2026-09-11,GB,web,Chart.csv|Countries.csv|Devices.csv|Filters.csv|Pages.csv|Queries.csv|Search appearance.csv,29,1,false,false,0,67,0,67,,1,,9c31448cca9e053d6ff2a40aa74e2cc752fbdfe79e4b901048f7c8a07ff788e7
gsc-3m-p-pg_0003,gsc-3m-p-pg_0003,raw/gsc-3m-p-pg_0003,page-group,page,+^https://www[.]the-anchor[.]pub/quiz-night/themed$,2026-06-12,2026-09-11,GB,web,Chart.csv|Countries.csv|Devices.csv|Filters.csv|Pages.csv|Queries.csv|Search appearance.csv,0,0,false,false,0,0,0,0,,,,f165f5a96b879cdb11de5605dc62b78959d64798444b4df3a374195d615d2633
gsc-3m-p-pg_0004,gsc-3m-p-pg_0004,raw/gsc-3m-p-pg_0004,page-group,page,+^https://www[.]the-anchor[.]pub/music-bingo$,2026-06-12,2026-09-11,GB,web,Chart.csv|Countries.csv|Devices.csv|Filters.csv|Pages.csv|Queries.csv|Search appearance.csv,2,1,false,false,0,4,0,4,,1,,049ea87aafc9ea521c96899a39c05e5db1353c201657b90c27845e9bdb7e3856
gsc-3m-p-pg_0005,gsc-3m-p-pg_0005,raw/gsc-3m-p-pg_0005,page-group,page,+^https://www[.]the-anchor[.]pub/cash-bingo$,2026-06-12,2026-09-11,GB,web,Chart.csv|Countries.csv|Devices.csv|Filters.csv|Pages.csv|Queries.csv|Search appearance.csv,19,1,false,false,0,60,0,60,,1,,7c634a37e4076d200bbbd09b24dcdb3e0f5a9e7524a0dd02ffc1264c457b30f7
