export_id,page,page_id,clicks,impressions,ctr,position,scope,level,completeness,truncated,window_start,window_end,reporting_country,search_type,filter_type,filter_value,source_file
gsc-3m-p-pg_0001,https://www.the-anchor.pub/whats-on,pg_0001,7,1855,0.0038,5.15,page-group,page,complete,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/whats-on$,raw/gsc-3m-p-pg_0001/Pages.csv
gsc-3m-p-pg_0002,https://www.the-anchor.pub/quiz-night,pg_0002,0,67,0,5.07,page-group,page,complete,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/quiz-night$,raw/gsc-3m-p-pg_0002/Pages.csv
gsc-3m-p-pg_0004,https://www.the-anchor.pub/music-bingo,pg_0004,0,4,0,2.75,page-group,page,complete,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/music-bingo$,raw/gsc-3m-p-pg_0004/Pages.csv
gsc-3m-p-pg_0005,https://www.the-anchor.pub/cash-bingo,pg_0005,0,60,0,15.2,page-group,page,complete,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/cash-bingo$,raw/gsc-3m-p-pg_0005/Pages.csv
